name,neighborhood,website,status,error_message,action_needed
"Guerrilla Tacos","Downtown Los Angeles","http://www.guerrillatacos.com/?y_source=1_NzU1NzcwODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","not_found_404","","Manually verify if business is closed"
"Dumpling House","Koreatown","https://www.dumplinghouseca.com/","not_found_404","","Manually verify if business is closed"
"Sarita's Pupuseria","Downtown Los Angeles","http://www.grandcentralmarket.com/vendors/32/saritas-pupuseria","not_found_404","","Manually verify if business is closed"
"Jade Wok","Central LA","https://smorefood.com/order-online/jade-wok-los-angeles-90012-xjb4pkq5?utm_source=gmb&utm_medium=website","not_found_404","","Manually verify if business is closed"
"Dr. Rainier A. Manzanilla, MD","Central LA","https://www.adventisthealth.org/white-memorial/provider/rainier-a-manzanilla-md-interventional-cardiology","not_found_404","","Manually verify if business is closed"
"Evil Twin LA","Del Rey","https://eviltwinla.com/","not_found_404","","Manually verify if business is closed"
"Spartina","Fairfax","http://spartina.la/","not_found_404","","Manually verify if business is closed"
"La Noisette Sweets","West Berkeley","http://www.lanoisettesweets.com/","not_found_404","","Manually verify if business is closed"
"The Beet Box Cafe","Kailua","http://www.thebeetboxcafe.com/","not_found_404","","Manually verify if business is closed"
"Billionaire Burger Boyz","Central LA","http://www.billionaireburgerboyz.com/","not_found_404","","Manually verify if business is closed"
"Sakura-Ya","Gardena","https://sakurayagardena.com/","not_found_404","","Manually verify if business is closed"
"Bar Monette","Santa Monica","http://www.barmonette.com/","not_found_404","","Manually verify if business is closed"