name,category,tier,notes
Bestia,restaurant,1,Arts District Italian - perennial every-list staple
Bavel,restaurant,1,Arts District Middle Eastern - same owners as Bestia
Republique,restaurant,1,La Brea - Eater/LAT/Infatuation fixture
Gjelina,restaurant,1,Venice institution - Eater all-time 38
Osteria Mozza,restaurant,1,Michelin star - Nancy Silverton
Pizzeria Mozza,restaurant,1,Nancy Silverton pizza empire
Chi Spacca,restaurant,1,Nancy Silverton meat-focused
Jon & Vinny's,restaurant,1,Fairfax - massive editorial coverage
Holbox,restaurant,1,Mercado La Paloma - #1 on LA Times 101 2025
Langer's Delicatessen,restaurant,1,Iconic pastrami - Jonathan Gold Hall of Fame
Musso & Frank Grill,restaurant,1,Hollywood institution since 1919
Howlin' Ray's,restaurant,1,Hot chicken - huge editorial footprint
Somni,restaurant,2-michelin,3 Michelin stars - one of only two in LA
n/naka,restaurant,2-michelin,2 Michelin stars - kaiseki
Hayato,restaurant,2-michelin,2 Michelin stars - Japanese
Vespertine,restaurant,2-michelin,2 Michelin stars - Jordan Kahn
Mélisse,restaurant,2-michelin,2 Michelin stars - Santa Monica
Camphor,restaurant,2-michelin,1 Michelin star - Arts District French
Orsa & Winston,restaurant,2-michelin,1 Michelin star - Italian-Japanese DTLA
Restaurant Ki,restaurant,2-michelin,1 Michelin star - first Korean starred in LA (2025)
Mori Nozomi,restaurant,2-michelin,1 Michelin star - new 2025
Gucci Osteria da Massimo Bottura,restaurant,2-michelin,1 Michelin star - Beverly Hills
Q Sushi,restaurant,2-michelin,1 Michelin star - Edomae sushi
Citrin,restaurant,2-michelin,1 Michelin star - Santa Monica
Baby Bistro,restaurant,3-hot2025,Restaurant of the year contender - Echo Park
Rasarumah,restaurant,3-hot2025,Malaysian - new Michelin Bib Gourmand 2025
Kuya Lord,restaurant,3-hot2025,James Beard winner - Filipino
Berenjak,restaurant,3-hot2025,Persian from London - Arts District buzzy
Comedor,restaurant,3-hot2025,Ray Garcia comeback - Westside
88 Club,restaurant,3-hot2025,Mei Lin (Top Chef winner)
Tomat,restaurant,3-hot2025,Farm-to-table - Michelin recommended 2025
Alba Los Angeles,restaurant,3-hot2025,Italian open-air - West Hollywood
Vin Folk,wine bar,3-hot2025,New Michelin Bib Gourmand - natural wine
Betsy,restaurant,3-hot2025,Altadena hearth cooking - Tyler Wells comeback
Gjusta,restaurant,4-iconic,Venice bakery/deli - Gjelina family
Bub & Grandma's,restaurant,4-iconic,Pizza cult following
Jitlada,restaurant,4-iconic,Thai Town legend
Anajak Thai,restaurant,4-iconic,Sherman Oaks - massively acclaimed
Coni'Seafood,restaurant,4-iconic,Nayarit-style seafood - Inglewood
Mariscos Jalisco,restaurant,4-iconic,Iconic seafood truck
Chengdu Taste,restaurant,4-iconic,SGV Sichuan essential
Lasa,restaurant,4-iconic,Filipino - Chinatown
Zankou Chicken,restaurant,4-iconic,Iconic LA chain
Porto's Bakery & Cafe,restaurant,4-iconic,Beloved Cuban bakery institution
Alta Adams,restaurant,4-iconic,Keith Corbin - South LA
Kismet,restaurant,4-iconic,Los Feliz Middle Eastern
N/Soto,restaurant,4-iconic,Japanese - highly rated
Yangban Society,restaurant,4-iconic,Korean-American - Arts District
Konbi,restaurant,4-iconic,Cult Japanese bakery
Rustic Canyon,restaurant,4-iconic,Santa Monica farm-to-table
Sapp Coffee Shop,restaurant,4-iconic,Thai Town essential
Roasted Duck by Pa Ord,restaurant,4-iconic,Thai Town - new Eater 38 addition
HMS Bounty,bar,4-iconic,Koreatown dive - new Eater 38 addition
Mercado La Paloma,restaurant,4-iconic,Food hall - LA Times #1 2025
Augustine Wine Bar,wine bar,5-wine-bar,Sherman Oaks
Bar Covell,wine bar,5-wine-bar,Los Feliz
Tabula Rasa,wine bar,5-wine-bar,East Hollywood
Esters Wine Shop & Bar,wine bar,5-wine-bar,Santa Monica
Go Get Em Tiger,coffee,6-coffee,Multiple locations
Intelligentsia Coffee,coffee,6-coffee,Silverlake/Pasadena
Verve Coffee Roasters,coffee,6-coffee,DTLA/WeHo
Endorffeine,coffee,6-coffee,Arts District
Pizzeria Sei,restaurant,3-hot2025,Tokyo-Neapolitan pizza - Pico-Robertson - Resy pick
RVR,restaurant,3-hot2025,Cal-izakaya - Venice - Travis Lett - Infatuation #6
Lucia,restaurant,3-hot2025,Caribbean fine dining - Fairfax - Art Deco space
Sushi Masuyoshi,restaurant,3-hot2025,Culver City omakase - Infatuation #4 - $210 value
Beethoven Market,restaurant,3-hot2025,Mar Vista Italian - Infatuation #10 - neighborhood gem
Camélia,restaurant,3-hot2025,French-Japanese - Bon Appétit 2025
Santa Canela,restaurant,3-hot2025,Highland Park bakery - Eater Award winner
Mustard's Bagels,restaurant,3-hot2025,Culver City bagel pop-up - Infatuation #7
Wagyu Butcher,restaurant,3-hot2025,Torrance yakiniku - Infatuation #8
Angel's Tijuana Tacos,restaurant,3-hot2025,Al pastor specialist - Resy pick
Chateau Marmont,hotel,hotel-iconic,Legendary Hollywood escape - old-world glamour
The Beverly Hills Hotel,hotel,hotel-iconic,Dorchester Collection - the Pink Palace
Hotel Bel-Air,hotel,hotel-iconic,Dorchester Collection - secluded Westwood luxury
Sunset Tower Hotel,hotel,hotel-iconic,Classic Art Deco glam - West Hollywood icon
The Peninsula Beverly Hills,hotel,hotel-iconic,Beverly Hills - top-tier luxury - 19.8 rating
The Hollywood Roosevelt,hotel,hotel-iconic,Historic Hollywood landmark - old-school glam meets modern
Palihouse West Hollywood,hotel,hotel-boutique,Design-forward West Hollywood classic - 18.8 rating
Downtown L.A. Proper Hotel,hotel,hotel-boutique,Kelly Wearstler design - DTLA - 19.5 rating
The West Hollywood EDITION,hotel,hotel-boutique,Ian Schrager - West Hollywood - 19.9 rating
Cara Hotel,hotel,hotel-boutique,Laid-back modern boutique - Los Feliz near Griffith Park
Hotel Covell,hotel,hotel-boutique,Intimate Los Feliz gem - bespoke design
The Hoxton Downtown LA,hotel,hotel-boutique,European-inspired DTLA boutique - 19.3 rating
Short Stories Hotel,hotel,hotel-boutique,Fairfax District - intimate feel and design details
Petit Ermitage,hotel,hotel-boutique,West Hollywood hideaway - secluded rooftop pool
Silver Lake Pool & Inn,hotel,hotel-boutique,Relaxed organic vibe - Silver Lake essential
The Prospect Hollywood,hotel,hotel-boutique,Residential feel - great outdoor spaces - 19.5 rating
Santa Monica Proper,hotel,hotel-boutique,Kelly Wearstler design - rooftop - ocean adjacent
Gold Diggers,hotel,hotel-boutique,East Hollywood - music venue/bar/hotel hybrid - 18.4 rating
The LINE LA,hotel,hotel-neighborhood,Koreatown - Greenhouse restaurant - strong bar scene
Ace Hotel Downtown Los Angeles,hotel,hotel-neighborhood,Restored historic DTLA building - rooftop
Freehand Los Angeles,hotel,hotel-neighborhood,DTLA - youthful artsy vibe - rooftop bar - from $140
The Garland,hotel,hotel-neighborhood,North Hollywood - mid-century resort vibe - 18.7 rating
Hotel June West LA,hotel,hotel-neighborhood,Near airport - stylish beach-adjacent - 18.6 rating
Hotel Figueroa,hotel,hotel-neighborhood,DTLA historic design - Unbound Collection by Hyatt
The Sun Rose,hotel,hotel-boutique,West Hollywood - 19.8 rating - intimate luxury
Hotel Per La,hotel,hotel-boutique,Downtown - Italian-inspired design hotel
kodō hotel,hotel,hotel-boutique,Downtown - new Japanese-inspired design hotel
The Aster,hotel,hotel-neighborhood,Hollywood - 19.3 rating - neighborhood stay
Soho Warehouse DTLA,hotel,hotel-boutique,Downtown - Soho House aesthetic - 19.0 rating
The Maybourne Beverly Hills,hotel,hotel-iconic,Beverly Hills - ultra-luxury - from $1246
L'Ermitage Beverly Hills,hotel,hotel-iconic,Beverly Hills - 19.3 rating - discreet luxury
Sonoratown,restaurant,4-iconic,Sonora-style mesquite tacos - famous flour tortillas - DTLA - on every list
Villa's Tacos,restaurant,4-iconic,Highland Park + Grand Central Market - blue corn - Dodger culture icon
Guisados,restaurant,4-iconic,Braised taco specialist - handmade tortillas - multiple locations
Tacos Los Cholos,restaurant,4-iconic,Huntington Park - mesquite charcoal - Infatuation 9.0 #1 taco
Tire Shop Taqueria,restaurant,4-iconic,Tijuana-style from a parking lot - every serious taco list
Carnitas El Momo,restaurant,4-iconic,Boyle Heights - consensus best carnitas in LA
Los Cinco Puntos,restaurant,4-iconic,Boyle Heights market institution - Infatuation 8.8
Carnitas Los Gabrieles,restaurant,4-iconic,DTLA Piñata District sidewalk stand - best Michoacan carnitas
Teddy's Red Tacos,restaurant,4-iconic,Birria specialist - East LA truck - Reddit/local favorite
Birrieria Nochistlan,restaurant,4-iconic,One of America's original birrierias - deep LA institution
Ricky's Fish Tacos,restaurant,4-iconic,Fish tacos near Los Feliz/Griffith Park - neighborhood essential
Mexicali Taco & Co,restaurant,4-iconic,Baja-style tacos - national food press coverage
Buzz Wine Beer Shop,wine bar,5-wine-bar,DTLA natural wine shop/bar hybrid
Lily's Bar,wine bar,5-wine-bar,Hollywood natural wine bar
Wine & Eggs,wine shop,5-wine-bar,Atwater Village - natural-leaning wine shop
Flask & Field,wine shop,5-wine-bar,DTLA wine shop hybrid
Heaven's Market,wine shop,5-wine-bar,Chinatown - natural wine shop
Vin on Rose,wine shop,5-wine-bar,Venice - natural wine shop
All Time,restaurant,4-iconic,Los Feliz - strong natural wine program - beloved neighborhood spot
Cosa Buona,restaurant,4-iconic,Echo Park - Italian with natural wine focus
Majordōmo,restaurant,1,Chinatown - David Chang - strong wine program
Ronan,restaurant,4-iconic,West Hollywood - pizza + natural wine
Sqirl,restaurant,4-iconic,Los Feliz - brunch icon + natural wine
Tilda,restaurant,3-hot2025,Hollywood - strong natural wine program
Night + Market Song,restaurant,4-iconic,Silver Lake - Thai + killer natural wine list
Night + Market Sahm,restaurant,4-iconic,Venice - Thai + natural wine
Kobawoo House,restaurant,4-iconic,Koreatown - Korean classic
Highland Park Wine,wine bar,5-wine-bar,Highland Park - wine bar + bottle shop
Grá,restaurant,5-wine-bar,Echo Park - wine-forward restaurant
