Place Name (Normalized),Source,Saiko Match Status,Existing Place ID,Notes
Lunasia Dim Sum House,SGV Coverage Intake,Needs Manual Review,,
Longo Seafood Restaurant,SGV Coverage Intake,Exact Match,1eae9e19-9842-463f-b27a-625ebac50aae,
Sichuan Impression,SGV Coverage Intake,Exact Match,7fb24f1e-dd93-412c-a49a-7dca0b053eff,
Savoy Kitchen,SGV Coverage Intake,Needs Manual Review,,
JJ Cafe,SGV Coverage Intake,Needs Manual Review,,
Woon,SGV Coverage Intake,Needs Manual Review,,
Morning Summit,SGV Coverage Intake,New,,
Kang Kang Food Court,SGV Coverage Intake,New,,
Combo A (Alhambra),SGV Coverage Intake,Needs Manual Review,,
Ji Rong Peking Duck,SGV Coverage Intake,New,,
Corner Beef Noodle House,SGV Coverage Intake,New,,
Macho Burger (Rosemead),SGV Coverage Intake,Needs Manual Review,,
Delicious Food Corner,SGV Coverage Intake,New,,
Bistro 1968,SGV Coverage Intake,Exact Match,5e17ad70-e447-4e87-af72-7056f7cfcd78,
Good Alley,SGV Coverage Intake,Exact Match,12221eef-13f6-49ad-b54b-1fd5189fea68,
Xi'an Biang Biang Noodle,SGV Coverage Intake,New,,
Tam's Noodle House,SGV Coverage Intake,Needs Manual Review,,
NBC Seafood Restaurant,SGV Coverage Intake,Exact Match,da57674f-2e23-440e-84c0-24efe550d61c,
Taste of MP,SGV Coverage Intake,New,,
E&J Yummy Kitchen,SGV Coverage Intake,Needs Manual Review,,
101 Noodle Express,SGV Coverage Intake,New,,
Huge Tree Pastry,SGV Coverage Intake,New,,
Mama Lu's Dumpling House,SGV Coverage Intake,Needs Manual Review,,
Yang's Kitchen,SGV Coverage Intake,Needs Manual Review,,
Chengdu Taste,SGV Coverage Intake,Exact Match,d0f792a0-602d-4e2c-93a2-d8acf05c6499,
Xibei,SGV Coverage Intake,Needs Manual Review,,
Pine & Crane,SGV Coverage Intake,New,,
Dan Modern Chinese,SGV Coverage Intake,New,,
Lan Noodle,SGV Coverage Intake,New,,
Hui Tou Xiang,SGV Coverage Intake,New,,
Ixlb Dimsum Eats,SGV Coverage Intake,Needs Manual Review,,
Jade Rabbit,SGV Coverage Intake,New,,